name,cpf,score
JUSTIN NICHOLS,53021874690,85.9
MARIE GIBSON,53021867480,87.56
THERESA PORTER,53021786480,95.15
RAYMOND HALL,53018624726,94.22
DIANE ALVAREZ,53017862453,72.56
RUBY JENKINS,53017486290,77.71
TIMOTHY CRAWFORD,53017462862,70.28
TIMOTHY HUDSON,53017846253,73.77
CHERYL ROGERS,53028714671,72.54
ADAM ORTIZ,53041862735,84.23
SANDRA CAMPBELL,53028614707,78.31
CLARENCE WALLACE,53027164880,78.93
SEAN MYERS,53027146807,84.08
SHIRLEY NELSON,53026871435,70.42
KELLY BURTON,53026148717,71.66
CYNTHIA STEPHENS,53024876162,88.4
EMILY GONZALEZ,53024761853,91.97
HAROLD DUNN,53026147826,73.04
MARILYN GIBSON,53047186235,89.36
MARIA POWELL,53046712871,89.78
BARBARA FIELDS,53046128762,84.63
JEAN FOX,53046217862,70.18
ANNA STANLEY,53046127871,97.93
ERIC FREEMAN,53042817644,86.58
DEBORAH ORTIZ,53042768171,75.95
BARBARA JONES,53042687171,77.8
CHARLES HAYES,53042176835,90.06
MARY MCDONALD,53041867290,78.13
LISA RILEY,53062147890,87.48
EUGENE BELL,53061247807,79.46
DIANE MORRISON,53061824707,90.88
DIANE HART,53062184744,76.82
KAREN RAMOS,53048761217,89.29
CHRISTINA COLE,53048612726,91.84
MARY FRAZIER,53048167226,98.58
BRANDON RICE,53047618208,92.43
BEVERLY REYES,53047812608,71.43
HELEN CARTER,53047281653,70.43
ALAN MORENO,53071682417,76.05
LARRY WELLS,53071824653,87.53
BEVERLY POWELL,53068741262,83
JOSHUA CARTER,53071268408,79.35
TAMMY CAMPBELL,53067481208,91.17
KEITH BUTLER,53067284135,76.68
JOYCE WHEELER,53068427126,96.27
JOHN WALLACE,53064281771,82.22
KAREN ELLIOTT,53067148207,80.2
KENNETH HUNTER,53062847107,88.39
VICTOR FREEMAN,53076482190,73.55
BETTY BAILEY,53074862190,98.69
MICHELLE LANE,53074218690,88.77
CRAIG HARRIS,53076812408,82.02
HAROLD RIVERA,53072861471,82.51
PATRICIA KNIGHT,53074126817,71.62
VICTOR PORTER,53072461880,70.66
KENNETH COLE,53072418608,80.12
ROSE JORDAN,53071846207,94.49
MATTHEW RICHARDSON,53071842635,75.81
JEFFREY BURNS,53082461735,70.66
RUSSELL MCDONALD,53081746280,84.27
DAVID MATTHEWS,53081672490,76.49
DANIEL GREENE,53081642744,83.1
EARL LEWIS,53081276462,92.78
BONNIE OWENS,53078621480,89.47
HAROLD ALLEN,53081267471,74.38
DOROTHY REED,53078614271,70.77
DORIS REYES,53078246108,97.99
STEVEN FORD,53076841262,97.87
EVELYN HANSON,53087612480,88.35
ALAN LITTLE,53087216453,99.63
HELEN ROSE,53086427108,79.68
MELISSA MASON,53087462144,80.96
RACHEL GARZA,53086214708,71.91
MARILYN STONE,53084261717,98.35
JIMMY MILLER,53084267162,77.26
MICHELLE WILLIS,53082761453,96.74
LINDA JACKSON,53082716407,72.73
CRAIG BAKER,53082641717,95.79
ROBIN WHEELER,53107482617,88.06
RACHEL WALLACE,53107268453,97.87
SARA CRUZ,53107468207,84.19
JOHNNY DUNCAN,53106274808,77.97
NICOLE GREEN,53104826790,94.23
MICHELLE LONG,53104867208,70.88
KEITH GREEN,53104827680,78.46
JUDY GARDNER,53104276862,89.05
HELEN BARNES,53104268762,89.75
DIANE BENNETT,53102468780,85.96
HELEN RIVERA,53124670817,71.03
CAROL SPENCER,53120846708,81.84
CHRISTINA RYAN,53120784680,95.17
FRED KENNEDY,53124807626,94.86
EARL HALL,53120648744,99.6
JOAN FULLER,53108627490,94.03
SHAWN HUDSON,53108624717,77.73
JONATHAN GRIFFIN,53108462717,70.38
CATHERINE SHAW,53107862444,89.4
MARIA WILSON,53128604762,75.06
CATHERINE THOMPSON,53128607435,77.25
RUBY WELLS,53140276826,85.84
CYNTHIA PAYNE,53128467080,73.3
SAMUEL REYES,53127804644,97.65
CHRISTOPHER LOPEZ,53128064717,90.17
JOHN NGUYEN,53127046871,73.73
ARTHUR NELSON,53126847080,96.27
RACHEL SMITH,53108762435,72.12
RUSSELL WATKINS,53127680490,86.19
BRIAN LARSON,53126708471,79.03
ANTONIO JACOBS,53147208680,83.97
THERESA WEBB,53146827026,79.35
PHILLIP RICHARDSON,53146287080,91.28
STEPHEN MORRISON,53146027844,72.28
RUTH GUTIERREZ,53142680780,83.5
JANET GARRETT,53142870644,72.2
BARBARA ADAMS,53142076808,99.78
DANIEL WALLACE,53140826753,83.98
KEVIN CARTER,53140762844,88.67
JAMES STANLEY,53140627807,81.14
ROBIN PAYNE,53160428753,73.49
TIMOTHY WRIGHT,53148726090,73.85
GREGORY CASTILLO,53160278417,82.6
PATRICK MURPHY,53148207653,75.41
SARA VASQUEZ,53148672062,95.07
GERALD WALLACE,53148026780,71.08
JUAN WEBB,53147820653,97.95
PHILLIP WARREN,53147806235,92.94
FRANK WATSON,53147680207,71.5
RICHARD DAVIS,53147602826,77.15
HELEN ROSE,53167280417,83
PAUL FISHER,53167024844,90.47
CAROLYN RAY,53164280726,83.79
BETTY TURNER,53164078226,87.25
CHRISTOPHER DAVIS,53162780462,89.39
CARLOS GONZALES,53162748062,88.39
DORIS MEYER,53162407826,96.23
NORMA BANKS,53160784207,88.93
ANDREW BARNES,53160724808,80.99
CRAIG GEORGE,53160742890,89.46
RALPH GEORGE,53170846280,99.3
SHIRLEY TAYLOR,53172804607,83.12
PHILIP WARD,53172468062,97.18
HOWARD ORTIZ,53170842617,96.88
SHAWN ANDREWS,53170426826,76.11
ANNA WHEELER,53168427071,96.55
JUDITH GIBSON,53168240753,97.24
MICHAEL ROGERS,53168047244,72.67
ARTHUR HAWKINS,53167480262,77.21
BILLY DAVIS,53167428007,74.99
BRANDON HAMILTON,53176804253,97.56
ALAN THOMPSON,53178064290,92.86
SEAN HALL,53178240608,99.12
CRAIG ADAMS,53176240880,76.31
KATHY WEAVER,53176028407,85.9
WILLIAM POWELL,53176024835,72.49
KEITH DAY,53174802644,82.25
JUAN MEDINA,53174608244,80.65
JOAN HUGHES,53174082617,78.17
SARAH CARR,53172806480,94.1
HARRY WALKER,53182076426,90.69
CHERYL MCDONALD,53182047671,72.98
RAYMOND FOWLER,53184026744,90.05
SHIRLEY LYNCH,53182476017,93.41
LOIS LAWSON,53180267453,78.91
JASON AUSTIN,53178460217,71.19
JUSTIN GREEN,53180246707,86.08
DIANA WATKINS,53178426035,90.04
PATRICK GONZALEZ,53178260471,99.85
PATRICK ORTIZ,53178246053,95.64
KATHERINE CHAPMAN,53186072417,87.95
HAROLD HUNT,53186207444,78.48
CYNTHIA HART,53184720608,93.9
MARIE HENRY,53184706290,79.21
JEAN POWELL,53184672026,97.98
PHYLLIS REYES,53184702626,76.76
BRUCE VASQUEZ,53184620735,73.69
LISA WILSON,53184270653,86.1
JACK TORRES,53184607208,97.79
ROBERT CHAVEZ,53184267008,87.7
ASHLEY ROBINSON,53201478644,78.59
LAURA WRIGHT,53206187435,81.38
BRANDON SIMS,53206478162,83.04
ROGER WOODS,53207146880,92.77
JUDITH GRAHAM,53204816753,86.12
BARBARA FLORES,53187462090,73.42
WANDA FLORES,53187420680,90.34
CHERYL THOMPSON,53187204635,93.94
SCOTT HAWKINS,53186270480,97.83
BRUCE HARPER,53186702453,79.62
MILDRED WEST,53210684707,85.33
HEATHER NICHOLS,53210678480,99
BARBARA SCHMIDT,53208417608,92.29
RALPH WARREN,53210486735,87.28
JULIE KELLEY,53207861407,77.63
ANNIE BAKER,53207816444,71.47
JUDY WAGNER,53207684190,96.67
KATHERINE MYERS,53207486126,81.82
JOSE FOX,53207681417,75.43
ANDREW ROSE,53207461808,70.76
CLARENCE SCHMIDT,53216708462,94.48
LILLIAN ROSE,53217068408,91.23
CAROLYN BERRY,53216870480,70.69
RACHEL ROSS,53217648080,92.93
SHIRLEY MYERS,53214806726,92.29
EDWARD BAILEY,53214768026,78.13
CAROLYN KING,53214608762,97.66
BETTY LITTLE,53210867453,74.22
JENNIFER TURNER,53210746826,72.56
EARL PETERSON,53240871653,91.19
DONALD MATTHEWS,53240786117,92.48
ARTHUR CARROLL,53240781662,71.54
CHRISTINA MORRIS,53240678144,86.34
DONALD STANLEY,53240617862,80.28
FRANCES BURKE,53218674026,92.14
MARIE TURNER,53218470617,92.78
ARTHUR CHAPMAN,53218460735,70.26
ANGELA MASON,53217680480,75.65
ELIZABETH LANE,53247180680,97.89
JUSTIN WEBB,53247160817,89.13
JOSE WHITE,53246871035,83.89
PHILLIP DAVIS,53246708126,90.7
LILLIAN GRIFFIN,53210768471,94.61
JACQUELINE GIBSON,53246107807,96.01
LAWRENCE PATTERSON,53240716844,92.69
MARTIN PATTERSON,53246018707,98.72
HARRY WARD,53241806707,85.76
RUTH MOORE,53241086771,74.09
KELLY WEAVER,53241680762,86.93
HENRY RUIZ,53241670880,94.49
BRENDA ROSS,53261840790,84.75
ANNA BERRY,53261078480,81.84
THOMAS ADAMS,53260714871,78.81
TIMOTHY TAYLOR,53248716053,71.34
JUDITH MCCOY,53248760117,84.25
PAULA SULLIVAN,53248706171,92.42
HEATHER ADAMS,53248617071,75.07
JOE MARTIN,53248170662,88.96
DIANE WHITE,53248061707,86.19
LILLIAN WILSON,53247806180,81.36
ANTONIO MATTHEWS,53267480108,71.8
CHRISTINE WEAVER,53267408180,88.21
DEBRA HILL,53267184053,98.53
ROGER MYERS,53267804108,89.53
ROSE CHAVEZ,53267140862,95.28
ALICE AUSTIN,53267041880,80.14
MARTIN SANCHEZ,53264871017,80.79
LISA DANIELS,53264718090,94.32
MARTHA RIVERA,53264701871,74.4
HOWARD GREENE,53264071835,87.36
MARIA GORDON,53268017444,95.58
JESSE COLEMAN,53268170471,87.72
NORMA RAY,53271608407,77.78
DANIEL GIBSON,53271068453,83.19
TERESA PERRY,53270148607,94.29
SEAN HUDSON,53274108626,73.44
WALTER ELLIS,53274186007,99.96
ASHLEY DUNCAN,53274106844,72.29
JOHNNY OLIVER,53274081671,82.23
JOAN SNYDER,53271840644,89.33
EARL BANKS,53278041607,99.24
TIMOTHY SPENCER,53276418053,87.2
JOYCE JACKSON,53278401662,80.66
WILLIAM CHAPMAN,53278160444,90.46
JENNIFER WILLIAMSON,53278046153,96.38
RANDY GREEN,53276140853,72.75
JAMES COOPER,53278140680,76.29
CYNTHIA COLEMAN,53276104890,71.71
KATHY MORRISON,53274810690,73.83
ANTONIO BRADLEY,53274610844,99.33
JASON MASON,53286104744,80.99
SARA THOMAS,53286107417,97.14
AARON BLACK,53286014753,82.36
BILLY FERNANDEZ,53284760180,79.68
ANNA MORALES,53284710671,79.24
JAMES BURNS,53284610707,90.58
RUBY MARTINEZ,53281760490,87.7
ROSE HILL,53281706444,98.05
ROGER ROBERTS,53281076408,99.58
CHRISTOPHER MARTINEZ,53280146771,84.22
HOWARD RODRIGUEZ,53402768135,87.76
LOIS FIELDS,53406172890,77.72
KEITH TUCKER,53402186780,78.78
SHAWN VASQUEZ,53406128726,81.75
HAROLD HALL,53287160435,99.26
ARTHUR ROBERTSON,53287406108,79.85
ANNIE FULLER,53287146017,82.1
LARRY PETERSON,53286704180,76.69
MICHELLE WEAVER,53286471062,93.32
DEBORAH SIMMONS,53408127662,96.32
BILLY ARMSTRONG,53408761280,82.96
RANDY GREEN,53410268707,98.42
BRUCE ROBINSON,53408762171,97.24
EMILY FISHER,53408721653,71.27
JEREMY MCDONALD,53408217653,86.75
JERRY HOWARD,53407612826,94.49
RACHEL SPENCER,53406281753,78.63
FRANK PETERS,53406187226,93.71
DORIS BARNES,53406217826,99.46
CHARLES MARTIN,53286401790,76.14
FRANK BROWN,53412768090,80.68
LORI FIELDS,53416827007,82.81
EMILY PALMER,53412780626,93.39
CATHERINE CARR,53412867071,73.83
STEVE PIERCE,53417260817,77.2
KENNETH FISHER,53417628008,74.19
ADAM ORTIZ,53412680753,85.1
MICHELLE WALKER,53412687090,75.29
EARL PETERS,53410786244,81.06
AMY HUNTER,53410627871,86.9
KIMBERLY GARCIA,53426170817,96.47
WANDA RYAN,53426078171,89.07
JACK BLACK,53426718090,94.67
LOUIS GILBERT,53421760853,89.37
NORMA BELL,53421806780,81.58
SARA HAYES,53421087644,90.11
PAMELA WILLIAMSON,53418762026,77.34
VIRGINIA COOK,53418706207,93.85
JENNIFER HANSEN,53418602762,79.25
PAUL REED,53418620744,90.48
BRIAN HUDSON,53460827190,98.56
BEVERLY BURKE,53460718226,91.87
JOSE FERGUSON,53460782153,94.04
MARILYN ALLEN,53460217871,87.29
SCOTT WATSON,53460182717,77.97
MICHELLE JONES,53428160762,70.57
JUDITH RODRIGUEZ,53428617053,97.49
CHRISTOPHER WAGNER,53427681017,93.87
ERIC HANSON,53428067126,81.31
BENJAMIN VASQUEZ,53427186008,72.67
ANNA STEPHENS,53467280153,78.79
REBECCA ARNOLD,53467218008,99.96
SAMUEL ARNOLD,53467201890,77.39
DOUGLAS WATSON,53467182062,88.78
HARRY WILLIS,53467021808,79.21
SUSAN CARPENTER,53467180280,77.35
JUDY PARKER,53467012817,89.19
GARY SANDERS,53462081780,88.84
BONNIE BOWMAN,53461280771,99.42
ANDREW MARTINEZ,53461207853,80.11
BONNIE DEAN,53471620826,86.17
ARTHUR CUNNINGHAM,53472608153,96.12
LAURA RYAN,53472801662,83.19
CLARENCE STEWART,53471260862,80.71
MATTHEW LANE,53471286071,73.46
GREGORY HAMILTON,53471206817,70.02
ADAM ALVAREZ,53471082662,95.02
JACK WOODS,53468271026,79.91
JOSHUA WOODS,53468217080,93.62
KEVIN CARPENTER,53468210744,98.24
RANDY ROSS,53478261007,73.55
BRUCE RICE,53478216044,80.43
JOSHUA FORD,53481702671,72.92
JESSE HUDSON,53482071608,96.55
ANGELA WILLIAMS,53481620780,87.95
FRANK WEST,53482160708,85.92
MARK MCCOY,53481072635,95.49
HEATHER BUTLER,53481267053,80.94
STEVEN ADAMS,53478610290,73.87
ANNE ROBERTSON,53601784262,75.11
KATHERINE HAMILTON,53487126044,78.94
RONALD BISHOP,53486701207,90.04
WAYNE FULLER,53602481735,75.69
NORMA HILL,53601742853,74.43
ROY REID,53486270117,72.16
MARTIN WELLS,53482106762,71.9
CRAIG DIAZ,53486027107,81.58
ERNEST CARR,53482167044,72.73
JUDITH BURNS,53482176035,90.24
MARILYN ALEXANDER,53482706107,77.46
JULIE JOHNSTON,53607412871,94.77
LAURA ELLIS,53607418217,70.12
CAROLYN RYAN,53607281408,87.75
MARIA DUNCAN,53607248117,95.11
MATTHEW FERNANDEZ,53607148244,72.39
PATRICIA GRIFFIN,53607481253,95.37
EDWARD GARDNER,53604178207,96.08
KAREN WILLIS,53602741826,93.7
EMILY COLE,53602487180,72.69
PHILIP GILBERT,53614027880,73.1
BRIAN RIVERA,53612840762,93.3
JOSHUA REID,53612870408,82.7
JULIA RODRIGUEZ,53612780417,71.11
STEPHEN HUDSON,53610427817,82.93
JOHN HUNTER,53610247835,87.86
ANN ARNOLD,53608724117,91.74
JOHNNY ROBERTS,53608714235,76.85
WILLIAM HERNANDEZ,53608174290,93.5
DANIEL KIM,53608124780,94.65
JAMES JORDAN,53604827108,92.97
RYAN PETERSON,53617208444,80.89
KEITH LITTLE,53620841780,72.95
ERIC FERGUSON,53618720408,90.61
SHIRLEY ARMSTRONG,53614820726,98.13
TAMMY ARNOLD,53617048226,84.37
ANN DIXON,53617082408,89.24
SHAWN GRANT,53614087271,77.61
JOYCE PATTERSON,53614807207,76.52
JANICE HANSON,53621078444,97.57
EDWARD WALLACE,53620847126,89.93
BETTY WILSON,53627408144,94.35
RAYMOND HOWARD,53628170435,88.84
KENNETH PATTERSON,53628174007,82.61
JERRY FRANKLIN,53628471044,77.28
STEPHANIE BENNETT,53628401771,87.63
JIMMY CARR,53640127862,85.57
FRANCES FISHER,53628470153,85.61
MARILYN LANE,53624810707,83.79
SHARON FOWLER,53624108735,81.61
BOBBY EDWARDS,53621087435,95
LAURA SANDERS,53642871062,88.52
DIANE HARVEY,53647810207,72.57
BOBBY SIMMONS,53642718035,84.54
RACHEL FERNANDEZ,53647021890,78.84
BENJAMIN LAWSON,53642701817,81.75
TODD NGUYEN,53641820707,70.39
PHILLIP PETERS,53642018726,90.18
KATHLEEN HOWARD,53640817290,70.74
VIRGINIA CLARK,53640271807,73.73
GLORIA PALMER,53640721853,98.17
ANN HANSON,53670218408,98.06
PETER BANKS,53648721062,82.81
BRUCE EDWARDS,53670124853,86.86
DOROTHY LITTLE,53648271008,96.81
JERRY BISHOP,53670148280,90.47
SARAH STEWART,53670184244,75.86
ANGELA KING,53648710290,80.56
SARAH NICHOLS,53648120735,91.63
PETER HART,53648127071,74.29
JULIA HANSEN,53648072153,77.45
DANIEL KNIGHT,53674802171,95.74
KATHY WEAVER,53674210835,99.38
KIMBERLY CAMPBELL,53672014826,81.44
BRUCE DIAZ,53674082144,89.64
TAMMY RAY,53671804262,95.24
CAROL TAYLOR,53671482044,71.89
JOYCE HUNT,53672104817,70.52
EARL CASTILLO,53672801453,78.9
JANICE BENNETT,53671248017,87.82
WANDA KELLY,53674810271,96.92
ALBERT BUTLER,53680417217,85.98
DENNIS ROSE,53680142790,91.39
SHARON PARKER,53680127480,93.1
EDWARD WILLIAMS,53680427107,71.23
KEVIN LONG,53678410235,91.17
AMY GARDNER,53678401244,70.03
JOSEPH NELSON,53674820153,70.71
JASON FREEMAN,53681427062,79.79
FRED HANSON,53681402744,95.79
SHIRLEY REED,53681204780,76.27
ANN CARROLL,53684217026,99.28
DORIS ELLIS,53684701262,89.8
JULIE HART,53684127035,80.49
JOYCE HENRY,53687102408,77.66
LARRY GARCIA,53684027162,71.51
ANTHONY MURRAY,53682471090,84.18
TIMOTHY HOWARD,53682410708,99.8
JENNIFER ALVAREZ,53682401717,93.1
EMILY ARMSTRONG,53681720444,89.97
JAMES ELLIS,53682017453,78.93
VICTOR HANSON,53701648271,93.35
CARLOS LONG,53702641807,85.12
JANICE REED,53702416862,97.92
GREGORY WAGNER,53701824690,71.68
LAURA BROWN,53701468290,75.21
MARIE LEWIS,53702186417,95.47
JANET FOSTER,53701264880,88.67
TERESA WALKER,53687142035,98.43
DANIEL WRIGHT,53687401235,72.72
CHERYL DIXON,53687210480,85.99
TERESA ARNOLD,53712684053,85.82
ANNIE PORTER,53714206817,94.36
DANIEL ROGERS,53714280626,91.49
PATRICK ELLIS,53712864035,95.12
CHRIS CHAVEZ,53712086407,79.8
CLARENCE GRAY,53708612426,98.84
ALBERT AUSTIN,53706142880,84.42
GERALD JENKINS,53706128462,80.31
JANICE BOYD,53704168262,86.41
DOROTHY MORALES,53720146871,91.35
REBECCA OWENS,53720841626,98.87
EDWARD MARSHALL,53720486117,97.39
DONALD ELLIOTT,53716820407,93.18
STEPHEN SHAW,53718046253,93.6
BONNIE GARDNER,53716280453,82.79
JUAN JAMES,53716208426,85.23
HARRY PERRY,53716024880,83
HARRY WILLIAMS,53716028444,85.41
RONALD WALLACE,53714806253,96.38
RICHARD DAY,53708214617,91.7
MICHAEL ANDERSON,53724801653,93.79
DAVID BURKE,53726081453,93.88
ELIZABETH ROSE,53724610807,88.74
JANET WOODS,53724618026,83.82
DAVID HUDSON,53721860462,80.42
WILLIAM REYES,53721804635,78.66
JASON ELLIS,53721640853,74.06
JANET KIM,53721480635,83.55
JANE MEYER,53721468007,76.5
WANDA RICE,53721068408,75.9
ANGELA MCCOY,53741062871,71.51
KEVIN CHAVEZ,53740268107,96.49
RUTH MORGAN,53740816244,73.35
ANDREW JACOBS,53740681217,79.7
SARA JONES,53728016462,84.88
GEORGE MARTINEZ,53740261862,87.83
JOHNNY ELLIS,53728160407,71.71
RUTH COOPER,53726084126,81.7
ROBERT ROBINSON,53726841008,74.46
DEBORAH MENDOZA,53726408126,77.8
JOSHUA COOPER,53748160208,95.78
DOUGLAS BISHOP,53748021607,74.65
BILLY HOWELL,53742806190,91.85
ERNEST WRIGHT,53746182026,75.8
RONALD HENRY,53742018671,71.92
CAROL LARSON,53742680153,83.93
AARON ORTIZ,53742610880,83.42
KATHRYN BROOKS,53741860271,97.19
MICHELLE TAYLOR,53742016890,99.06
PHILLIP ROSS,53741208671,81.62
AARON PAYNE,53761084226,99.14
SARAH RAMOS,53762184062,96.63
CATHERINE BAILEY,53764018208,98.5
ERIC SHAW,53761408226,83.46
KAREN WHITE,53760421890,96.87
CHRISTINE OWENS,53760812490,75.21
BENJAMIN COLLINS,53760814271,95.92
AMANDA WOOD,53760248144,78.2
ASHLEY LAWRENCE,53760182453,79.11
ANDREA RAMIREZ,53760241808,81.89
CHRISTINA DIXON,53780461226,83.38
RUSSELL LARSON,53768412008,72.21
ALICE PARKER,53780216426,82.31
JOHN RICE,53780421607,72.31
SHARON ALVAREZ,53768410226,93.46
SHARON WAGNER,53768042162,87.59
ANTHONY ORTIZ,53768021408,90.8
HOWARD STONE,53768012417,77.13
LINDA WHEELER,53764201835,73.67
ANTONIO BRADLEY,53768014207,82.68
ANGELA COLE,53786124035,71.9
MARTHA WHITE,53801472671,99.11
JANET FOSTER,53801462790,78.76
RUBY STEWART,53784206107,70.55
SAMUEL FRAZIER,53784026117,95.62
CHARLES ROBINSON,53782160444,83.4
LORI SIMMONS,53782016408,91.95
SANDRA WARD,53780624117,83.41
BRUCE WALLACE,53781024644,85.63
RYAN EDWARDS,53781062490,73.91
DONALD CLARK,53804726135,92.96
KELLY ELLIOTT,53804276180,97.99
SHIRLEY JAMES,53804172644,72.84
DAVID ROBERTS,53804627153,70.39
KEITH RAMIREZ,53802761480,71.09
PHILLIP GREEN,53802746171,99.18
MARTIN MCDONALD,53802476107,80.99
RICHARD BURNS,53802416708,70.21
BRENDA DAVIS,53802174607,88.49
LINDA HILL,53802471644,98.51
ALBERT FISHER,53812604744,90.58
PHILLIP GILBERT,53812067471,81.15
KAREN WARD,53810674290,75.21
SHARON TAYLOR,53810724653,97.39
DANIEL BISHOP,53807624171,79.24
TERRY COLEMAN,53810276480,73.68
SAMUEL FERGUSON,53810264717,74.77
JOSE OWENS,53806421790,74.11
GEORGE MORGAN,53804761208,89.93
VICTOR NELSON,53807426108,85.67
ELIZABETH ROSE,53820417680,95.53
TIMOTHY WAGNER,53816702490,97.29
HARRY COOK,53820614753,98.53
KAREN BURTON,53821406771,98.04
BRANDON WHITE,53816427090,84.87
JULIA MARSHALL,53816074235,85.51
BRUCE ROMERO,53814720644,88.59
KAREN LOPEZ,53814062744,94.28
BRENDA WATKINS,53814706226,95.04
JACK HAWKINS,53814026780,96.76
LISA RYAN,53827041635,79.85
BONNIE STEPHENS,53827610435,97.55
ANNA DAVIS,53840216753,94.36
JULIE REYES,53826740190,71.99
ADAM HARPER,53826470117,77.92
CHRISTINA SIMPSON,53826174062,89.05
RANDY PORTER,53826140753,80.62
KELLY WEBB,53824761017,95.7
CARL MURPHY,53826041771,74.1
DORIS HILL,53824067153,82.84
TODD BARNES,53847260162,75.05
EARL WHEELER,53847210653,70.23
JUAN COLE,53847206117,96.63
BILLY SULLIVAN,53847261053,99.79
FRED JORDAN,53846207144,89.42
EUGENE GREENE,53846102717,91.08
KENNETH MASON,53842601735,74.52
CARL NELSON,53842107617,76
PHYLLIS YOUNG,53841726062,72.09
MARIE STEVENS,53841072607,85.95
CHRIS RAMIREZ,53864017262,77.17
ROBIN STEVENS,53864270162,71.95
MARTHA BARNES,53864170290,99.71
HELEN HALL,53862401707,76.76
PHILIP GILBERT,53861720426,82.51
BETTY BURTON,53861702444,72.11
SANDRA WALLACE,53861407280,94.7
FRANK EDWARDS,53861274035,87.49
BRANDON WARD,53860412744,92.21
BARBARA BUTLER,53860147226,75.48
CRAIG LAWSON,53871426008,70.67
WILLIAM WARD,53874120635,78.38
NORMA FOSTER,53871042617,79.1
BILLY HANSEN,53871260444,87.14
ROGER JACKSON,53870642190,77.17
MARGARET WEST,53867410208,99.2
JEAN BRYANT,53867204144,82.5
KATHRYN KENNEDY,53867104271,91.47
CARLOS FOWLER,53867041253,74.94
MILDRED GRIFFIN,54012836790,82.44
MILDRED ELLIOTT,54012863762,93.7
FRANCES COLE,54012786326,74.52
JOHNNY NELSON,54012638726,82.59
EVELYN ORTIZ,54012637835,78.41
ERIC CRAWFORD,54012386735,73.84
JUSTIN MARTINEZ,53870416262,74.22
ANGELA WILLIAMS,54012376853,73.93
LISA MILLS,53874601226,90.47
LARRY GARDNER,53874206190,80.07
FRED STANLEY,53874260135,91.52
BRIAN CARPENTER,54018267371,85.02
TIMOTHY LOPEZ,54017362826,95.62
MELISSA RAMOS,54016873207,80.54
LORI JAMES,54016728371,77.56
GERALD JOHNSTON,54017286380,81.73
DEBORAH MORALES,54016287308,94.98
RALPH HALL,54013827662,79.32
TERESA HARRIS,54012876317,74.63
JULIE COLLINS,54013287617,92.6
NICOLE PEREZ,54013268744,81.34
BOBBY MCCOY,54023678171,99.48
DORIS CARROLL,54023861707,86.09
RUBY CARR,54023761826,80.4
ANTONIO CRUZ,54021368744,95.95
NICHOLAS TUCKER,54021783644,99.73
KATHY WARREN,54023186708,71.87
MARK WATKINS,54018673280,76.59
DOROTHY JORDAN,54018672390,97.75
WALTER JAMES,54018367244,84.38
BILLY NGUYEN,54018362790,99.45
KATHRYN HART,54027386108,73.61
DOROTHY MORRISON,54031678207,99.94
JOHN MORENO,54026178307,91.94
MARTHA GIBSON,54031872607,79.88
RACHEL FREEMAN,54026317862,95.02
PAMELA KELLEY,54028367107,97.83
CLARENCE NELSON,54031267835,71.29
CHRISTINE MONTGOMERY,54026138771,84.65
RALPH HARVEY,54023871680,79.26
DENISE HAYES,54023876135,85.55
ANNE RYAN,54036728180,85.03
SANDRA MITCHELL,54036817280,80.53
PAMELA MARTINEZ,54037128608,70.03
EVELYN EVANS,54036827162,72.23
JULIA GORDON,54036871226,82.82
STEVEN SPENCER,54036872117,76.84
CHRIS VASQUEZ,54036718207,70.27
ELIZABETH MARSHALL,54032687153,73.59
ARTHUR BLACK,54032618771,72.52
LOUISE RICHARDS,54032178607,88.76
ALAN BURTON,54061278371,95.3
ANTONIO HICKS,54038761207,87.12
ANTONIO BURNS,54061387235,82.7
HOWARD REID,54038721671,78.33
WAYNE HILL,54038621707,77.03
CYNTHIA COLEMAN,54037682117,98.39
VIRGINIA ROSE,54038267180,70.91
LARRY PALMER,54037612844,94.96
DIANA JORDAN,54037681226,80.77
AMY STEVENS,54037218607,83.45
LINDA LAWRENCE,54067138253,83.11
MICHELLE JORDAN,54067283180,83.42
CHERYL BROOKS,54063812707,87.35
PETER WILLIAMSON,54067182317,74.04
STEPHANIE FISHER,54063271862,99.5
JUDY FERGUSON,54062813726,80.9
WAYNE TORRES,54063172880,74.23
BRUCE BROWN,54062378108,92.53
THERESA NICHOLS,54062317826,79.82
ROSE ARMSTRONG,54061738208,84.71
KELLY THOMAS,54072618390,94.79
SARAH GARRETT,54071382635,77.25
WILLIE RICHARDS,54071628308,97.04
TIMOTHY MARSHALL,54072138690,78.85
HELEN BROOKS,54071832690,95.2
JUDY STONE,54068732108,98.2
JOYCE COOPER,54072361844,75.39
JEAN KELLY,54068137226,97.15
CAROL HARVEY,54067318235,97.61
JAMES GILBERT,54068237107,80.2
CAROL MARTINEZ,54076382153,85.84
BETTY PERKINS,54078321607,85.81
CARLOS JONES,54073216880,80.88
JOE EDWARDS,54076123808,88.59
LILLIAN LITTLE,54073182617,86.9
JESSE BRYANT,54073128671,93.64
MARTHA DIAZ,54072863190,71.16
CARLOS GONZALEZ,54072861308,83.04
CLARENCE LEWIS,54072816353,98.38
MARILYN GARDNER,54072831662,99.21
MARGARET JONES,54082371680,94.34
JANET MATTHEWS,54082367144,73.24
LORI BROOKS,54083672153,73.85
JONATHAN GARZA,54081762317,95.15
